Users	ResponseTime
1	0,558517
2	0,561370
3	0,564258
4	0,567184
5	0,570147
6	0,573148
7	0,576189
8	0,579270
9	0,582393
10	0,585557
11	0,588764
12	0,592015
13	0,595311
14	0,598654
15	0,602043
16	0,605480
17	0,608967
18	0,612505
19	0,616094
20	0,619736
21	0,623433
22	0,627185
23	0,630995
24	0,634863
25	0,638791
26	0,642782
27	0,646835
28	0,650953
29	0,655139
30	0,659392
31	0,663717
32	0,668114
33	0,672585
34	0,677133
35	0,681759
36	0,686467
37	0,691258
38	0,696135
39	0,701101
40	0,706157
41	0,711308
42	0,716555
43	0,721903
44	0,727353
45	0,732910
46	0,738577
47	0,744357
48	0,750255
49	0,756273
50	0,762417
51	0,768691
52	0,775099
53	0,781645
54	0,788336
55	0,795176
56	0,802170
57	0,809324
58	0,816645
59	0,824139
60	0,831812
61	0,839672
62	0,847726
63	0,855982
64	0,864447
65	0,873132
66	0,882044
67	0,891194
68	0,900593
69	0,910250
70	0,920178
71	0,930389
72	0,940896
73	0,951712
74	0,962853
75	0,974334
76	0,986172
77	0,998384
78	1,010990
79	1,024010
80	1,037465
81	1,051378
82	1,065775
83	1,080682
84	1,096126
85	1,112140
86	1,128756
87	1,146010
88	1,163939
89	1,182585
90	1,201993
91	1,222211
92	1,243291
93	1,265290
94	1,288269
95	1,312297
96	1,337445
97	1,363793
98	1,391429
99	1,420448
100	1,450954
101	1,483062
102	1,516898
103	1,552601
104	1,590324
105	1,630236
106	1,672525
107	1,717400
108	1,765092
109	1,815857
110	1,869985
111	1,927797
112	1,989653
113	2,055959
114	2,127172
115	2,203805
116	2,286442
117	2,375743
118	2,472459
119	2,577445
120	2,691681
121	2,816286
122	2,952549
123	3,101951
124	3,266208
125	3,447304
126	3,647550
127	3,869635
128	4,116707
129	4,392460
130	4,701241
131	5,048181
132	5,439365
133	5,882026
134	6,384794
135	6,958006
136	7,614084
137	8,368012
138	9,237938
139	10,245916
140	11,418857
141	12,789730
142	14,399079
143	16,296973
144	18,545490
145	21,221921
146	24,422898
147	28,269748
148	32,915454
149	38,553749
150	45,431039
151	53,862108
152	64,250871
153	77,117932
154	93,137317
155	113,185643
156	138,408214
157	170,308239
158	210,867784
159	262,712430
160	329,336397
161	415,411680
162	527,214350
163	673,215007
164	864,900138
165	1117,919677
166	1453,697336
167	1901,700256
168	2502,652008
169	3313,101099
170	4411,945588
171	5909,792605
172	7962,444112
173	10790,414289
174	14707,301861
175	20161,218401
176	27795,549948
177	38538,471424
178	53735,407798
179	75345,920991
180	106237,662618
181	150627,203840
182	214744,078376
183	307835,521201
184	443693,472526
185	642985,655629
186	936829,953621
187	1372299,585313
188	2020939,687615
189	2992001,027425
190	4453094,680790
191	6662571,604171
192	10020507,445426
193	15149337,024893
194	23021942,282073
195	35166017,281211
196	53991555,766082
197	83317972,831836
198	129226177,898860
199	201442051,193758
